movie_id,title,year,academy_award,won,run_time,budget,box_office,starring 1,starring 2,starring 3,starring 4,starring 5,starring 6,starring 7,starring 8,starring 9,starring 10,starring 11,starring 12,starring 13,starring 14,starring 15,starring 16,starring 17,starring 18,starring 19
the-invaders-1942,The Invaders,1942,15,no,123,,20.2,,,,,,,,,,,,,,,,,,,
kings-row-1942,Kings Row,1942,15,no,127,1.0817,5.093,,,,,,,,,,,,,,,,,,,
the-magnificent-ambersons-1942,The Magnificent Ambersons,1942,15,no,88,1.1,1,Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt, Agnes Moorehead, Ray Collins, Erskine Sanford, Richard Bennett,,,,,,,,,,,
the-pied-piper-1942,The Pied Piper,1942,15,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-pride-of-the-yankees-1942,The Pride of the Yankees,1942,15,no,128,NA,NA,,,,,,,,,,,,,,,,,,,
random-harvest-1942,Random Harvest,1942,15,no,125,1.21,NA,,,,,,,,,,,,,,,,,,,
the-talk-of-the-town-1942,The Talk of the Town,1942,15,no,118,1,1.1,,,,,,,,,,,,,,,,,,,
wake-island-1942,Wake Island,1942,15,no,88,0.826,3.5,,,,,,,,,,,,,,,,,,,
yankee-doodle-dandy-1942,Yankee Doodle Dandy,1942,15,no,126,NA,11.8,,,,,,,,,,,,,,,,,,,
casablanca-1943,Casablanca,1943,16,yes,102,0.878,3.7,Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre[1],,,,,,,,,,,,
for-whom-the-bell-tolls-1943,For Whom the Bell Tolls,1943,16,no,170,NA,7.1,Gary Cooper, Ingrid Bergman, Akim Tamiroff, Joseph Calleia,,,,,,,,,,,,,,,
heaven-can-wait-1943,Heaven Can Wait,1943,16,no,112,1.1154,2.5,,,,,,,,,,,,,,,,,,,
the-human-comedy-1943,The Human Comedy,1943,16,no,118,1,3.9,,,,,,,,,,,,,,,,,,,
in-which-we-serve-1943,In Which We Serve,1943,16,no,115,0.9696,8.08,,,,,,,,,,,,,,,,,,,
madame-curie-1943,Madame Curie,1943,16,no,124,1.938,4.61,,,,,,,,,,,,,,,,,,,
the-more-the-merrier-1943,The More the Merrier,1943,16,no,104,0.878,1.8,,,,,,,,,,,,,,,,,,,
